pair_id,name,a1,a2,preference,wrong_type,source_name,is_swapped,positive_source,source,target_words,negative_words,length_delta,lexical_jaccard,sequence_similarity
samplenew3_00000048::original_rejected::base,samplenew3_00000048,"In the video, at the beginning of the video, we see a female character in a professional setting, wearing a suit and tie, with a serious expression on her face. Her eyebrows are slightly furrowed, and her mouth is slightly open, indicating that she is engaged in a serious conversation. In the middle of the video, her facial expression becomes more intense, with her eyebrows raised and her mouth opening wider, suggesting that she is emphasizing a point or expressing a strong emotion. Towards the end of the video, her facial expression becomes more relaxed, with her eyebrows lowering and her mouth closing, indicating that she has finished speaking or is waiting for a response. In the audio, the character's tone is firm and decisive. In the text, the subtitle says, ""The chairman is eating fast food at the airport, do you still want to eat a big meal?"" This sentence may be a question or suggestion from the female character to someone. Based on the serious expression and intense facial expression of the female character in the video clues, as well as the firm and decisive tone described in the audio clues, we can infer that this sentence may carry a serious or questioning tone. The female character may be emphasizing a point or expressing a strong emotion when saying this sentence, which aligns with her overall serious demeanor.","In the video, the subtitle content states, The chairman eats fast food at the airport, and you still want to have a big feast? This rhetorical question is delivered as a direct rebuke, framing the speaker's criticism of perceived extravagance against her superior's frugality. Based on the facial expression clues-the woman's stern demeanor, tensed eyebrows, firm mouth line, and unwavering direct gaze-we infer she is projecting authority paired with displeasure. Her vocal tone reinforces this interpretation: sharp, assertive, and devoid of warmth, carrying a clear reprimanding quality that aligns with her critical dialogue. Additionally, her rigid posture and upright formal stance amplify her authoritative presence, signaling controlled anger rather than overt aggression. This suggests she is delivering a professional scolding to subordinates, leveraging rhetorical contrast chairman eats fast food vs. want a big feast to emphasize moral judgment. Therefore, the emotion expressed aligns strongly with controlled anger, reflecting her role as a superior enforcing standards of propriety-a sentiment consistent with her overall authoritative demeanor conveyed through tone, expression, posture, and contextual setting.",a2,original_rejected,samplenew3_00000048,0,official_preferred,official,172,230,58,0.215054,0.027983
samplenew3_00000236::original_rejected::base,samplenew3_00000236,"In the text, the caption reads: ""How am I supposed to know who he is?"" This phrase could be a response or reaction from a woman to a boy. Given the audio cues that describe the character's voice as high-pitched and filled with excitement, along with the video clues showing the woman's anxious expression and the boy's smile, we can infer that the tone of this sentence might convey a sense of confusion or puzzlement. The woman may feel perplexed by the boy's question or statement, unsure of how to respond or explain. Therefore, this sentence could be the woman's reaction to the boy's question, expressing her bewilderment and uncertainty.","In the video, in the opening scene, we see a woman and a child in the frame. The woman has a serious expression on her face, with her eyebrows slightly furrowed and her mouth slightly open, indicating that she is engaged in a serious conversation with the child. In the following scenes, the woman's expression becomes more intense, with her eyebrows raised and her mouth opening wider, suggesting that she is emphasizing a point or expressing strong emotions. In the audio, the character's tone is high-pitched and the speech rate is fast, indicating that the character is excited or anxious. In the text, the subtitle says, ""How do I know who he is?"" This sentence may be the woman's response to the child's question. Based on the woman's serious expression and intense emotions in the video clues, as well as the character's high-pitched tone and fast speech rate in the audio clues, we can infer that this sentence carries a sense of excitement or anxiety. The woman may be excited or anxious because she does not know who the child is referring to, which aligns with the overall serious and intense emotions displayed by the woman.",a1,original_rejected,samplenew3_00000236,0,official_preferred,official,110,196,86,0.333333,0.069702
samplenew3_00000236::emotion_flip::base,samplenew3_00000236,"In the text, the caption reads: ""How am I supposed to know who he is?"" This phrase could be a response or reaction from a woman to a boy. Given the audio cues that describe the character's voice as high-pitched and filled with excitement, along with the video clues showing the woman's anxious expression and the boy's smile, we can infer that the tone of this sentence might convey a sense of confusion or puzzlement. The woman may feel perplexed by the boy's question or statement, unsure of how to respond or explain. Therefore, this sentence could be the woman's reaction to the boy's question, expressing her bewilderment and uncertainty.","In the text, the caption reads: ""How am I supposed to know who he is?"" This phrase could be a response or reaction from a woman to a boy. Given the audio cues that describe the character's voice as high-pitched and filled with excitement, along with the video clues showing the woman's anxious expression and the boy's smile, we can infer that the tone of this sentence might convey a sense of confusion or puzzlement. The woman may feel perplexed by the boy's question or statement, unsure of how to respond or explain. Therefore, this sentence could be the woman's reaction to the boy's question, expressing her excitement and curiosity.",a1,emotion_flip,samplenew3_00000236,0,official_preferred,controlled_qwen3_text,110,110,0,0.958904,0.962559
samplenew3_00000236::intensity_mismatch::base,samplenew3_00000236,"In the text, the caption reads: ""How am I supposed to know who he is?"" This phrase could be a response or reaction from a woman to a boy. Given the audio cues that describe the character's voice as high-pitched and filled with excitement, along with the video clues showing the woman's anxious expression and the boy's smile, we can infer that the tone of this sentence might convey a sense of confusion or puzzlement. The woman may feel perplexed by the boy's question or statement, unsure of how to respond or explain. Therefore, this sentence could be the woman's reaction to the boy's question, expressing her bewilderment and uncertainty.","In the text, the caption reads: ""How am I supposed to know who he is?"" This phrase could be a response or reaction from a woman to a boy. Given the audio cues that describe the character's voice as high-pitched and filled with excitement, along with the video clues showing the woman's extremely anxious expression and the boy's smile, we can infer that the tone of this sentence might convey a sense of confusion or puzzlement. The woman may feel perplexed by the boy's question or statement, unsure of how to respond or explain. Therefore, this sentence could be the woman's reaction to the boy's question, expressing her bewilderment and uncertainty.",a1,intensity_mismatch,samplenew3_00000236,0,official_preferred,controlled_qwen3_text,110,111,1,0.986301,0.992284
samplenew3_00000236::evidence_contradiction::base,samplenew3_00000236,"In the text, the caption reads: ""How am I supposed to know who he is?"" This phrase could be a response or reaction from a woman to a boy. Given the audio cues that describe the character's voice as high-pitched and filled with excitement, along with the video clues showing the woman's anxious expression and the boy's smile, we can infer that the tone of this sentence might convey a sense of confusion or puzzlement. The woman may feel perplexed by the boy's question or statement, unsure of how to respond or explain. Therefore, this sentence could be the woman's reaction to the boy's question, expressing her bewilderment and uncertainty.","In the text, the caption reads: ""How am I supposed to know who he is?"" This phrase could be a response or reaction from a woman to a boy. Given the audio cues that describe the character's voice as low-pitched and monotone, along with the video clues showing the woman's anxious expression and the boy's smile, we can infer that the tone of this sentence might convey a sense of confusion or puzzlement. The woman may feel perplexed by the boy's question or statement, unsure of how to respond or explain. Therefore, this sentence could be the woman's reaction to the boy's question, expressing her bewilderment and uncertainty.",a1,evidence_contradiction,samplenew3_00000236,0,official_preferred,controlled_qwen3_text,110,108,-2,0.932432,0.970889
samplenew3_00000259::original_rejected::base,samplenew3_00000259,"In the text, the subtitle content says, ""Then I have to thank you, Baishiang."" This sentence is likely a response or expression of gratitude from the man to someone. Based on the description of the individual's voice having a slight tremor in the audio clues, as well as the friendly and warm facial expressions displayed by the man in the video clues, we can infer that this sentence may carry a sense of appreciation or admiration. Therefore, this sentence is likely the man expressing gratitude or praise to someone, aligning with the overall positive emotions exhibited by the man.","In the video, the character is in an office or professional setting with bright indoor lighting, a glass partition, and blurred background items. Their facial expression shows a slight smile, relaxed mouth corners, and calm eye contact, indicating a happy and composed mood. Their body language reveals that he is standing upright while holding a transparent object, possibly symbolizing something of value or importance. There is no significant emotional change throughout the scene.In the audio, the character's voice demonstrates a calm and polite tone, with moderate pitch and steady pace. The vocal tone remains consistent without notable shifts. Background audio does not provide distinct emotional influence.The subtitle reads: ""Then I have to thank you, Baishiang."" The choice of words ""thank you"" and the sentence structure suggest a clear expression of gratitude and politeness. The semantic content indicates a positive emotional inclination rooted in appreciation.Combining the visual cues (relaxed facial expression and composed posture), auditory signals (calm and polite tone), and textual information (expression of thanks), along with the stable emotional display throughout, we can conclude that the character experiences happiness with moderate intensity. The smiling expression and gentle tone particularly support this interpretation. There is also a subtle indication of respectfulness, suggesting a complex emotional state blending gratitude and decorum.",a1,original_rejected,samplenew3_00000259,0,official_preferred,official,99,213,114,0.180233,0.100873
samplenew3_00000259::evidence_contradiction::base,samplenew3_00000259,"In the text, the subtitle content says, ""Then I have to thank you, Baishiang."" This sentence is likely a response or expression of gratitude from the man to someone. Based on the description of the individual's voice having a steady pitch in the audio clues, as well as the friendly and warm facial expressions displayed by the man in the video clues, we can infer that this sentence may carry a sense of appreciation or admiration. Therefore, this sentence is likely the man expressing gratitude or praise to someone, aligning with the overall positive emotions exhibited by the man.","In the text, the subtitle content says, ""Then I have to thank you, Baishiang."" This sentence is likely a response or expression of gratitude from the man to someone. Based on the description of the individual's voice having a slight tremor in the audio clues, as well as the friendly and warm facial expressions displayed by the man in the video clues, we can infer that this sentence may carry a sense of appreciation or admiration. Therefore, this sentence is likely the man expressing gratitude or praise to someone, aligning with the overall positive emotions exhibited by the man.",a2,evidence_contradiction,samplenew3_00000259,0,official_preferred,controlled_qwen3_text,99,99,0,0.939394,0.980325
samplenew3_00000259::modality_omission::base,samplenew3_00000259,"In the text, the subtitle content says, ""Then I have to thank you, Baishiang."" This sentence is likely a response or expression of gratitude from the man to someone. Based on the description of the individual's voice having a slight tremor in the audio clues, we can infer that this sentence may carry a sense of appreciation or admiration. Therefore, this sentence is likely the man expressing gratitude or praise to someone, aligning with the overall positive emotions exhibited by the man.","In the text, the subtitle content says, ""Then I have to thank you, Baishiang."" This sentence is likely a response or expression of gratitude from the man to someone. Based on the description of the individual's voice having a slight tremor in the audio clues, as well as the friendly and warm facial expressions displayed by the man in the video clues, we can infer that this sentence may carry a sense of appreciation or admiration. Therefore, this sentence is likely the man expressing gratitude or praise to someone, aligning with the overall positive emotions exhibited by the man.",a2,modality_omission,samplenew3_00000259,0,official_preferred,controlled_qwen3_text,99,82,-17,0.859375,0.501393
samplenew3_00000324::original_rejected::base,samplenew3_00000324,"In the video, a woman is depicted in an indoor setting, possibly a vehicle or a room with reflective glass, shown in a profile view. Her facial expression is notably serene and composed, characterized by a relaxed brow, a steady and clear gaze directed forward, and a subtle, gentle upturn at the corners of her lips, indicating a quiet and knowing smile. Her overall demeanor suggests a state of calm. Concurrently, a male voice is heard, speaking with a steady, confident tone. He first states, ""有人给我养老"" (""Someone is providing for my old age""), followed by a rhetorical and resolute question, ""我怕谁"" (""Who am I afraid of?""). The male speaker concludes this declaration with a light, almost dismissive chuckle. The woman's subtle, tranquil smile perfectly aligns with the sentiment of security and fearlessness conveyed by the speaker's words and tone, suggesting not only that she is listening attentively but also that she shares or approves of this confident and self-assured outlook. Her serene expression and quiet smile convey a profound sense of inner peace and contentment, reinforcing the speaker's declaration of an untroubled and secure future. This combination of visual tranquility and auditory confidence strongly indicates her state of tranquil contentment and confident reassurance.","In the video, the subtitle content reads, Someone will take care of me in my old age. This statement, combined with the individual's gentle smile and soft, affectionate gaze, suggests a sentiment rooted in personal reassurance and trust. Based on the warm and sincere vocal tone described in the audio clues, we can infer that the speaker is expressing a mix of gratitude and optimism about their future. The relaxed and composed body language, characterized by a lack of tension in her posture and deliberate, calm gestures, reinforces a sense of relief and stability. Her facial expression, with its gently upturned corners of the mouth and softly dilated pupils, further supports the interpretation of deep contentment. These multimodal cues collectively indicate that the utterance is not merely a factual statement but an emotionally resonant acknowledgment of security and hope. Therefore, the emotion of this moment-a blend of contentment, relief, and hope-aligns with the character's overall emotional state, reflecting a harmonious integration of reassurance and optimism.",a1,original_rejected,samplenew3_00000324,0,official_preferred,official,201,165,-36,0.200000,0.044557
samplenew3_00000379::original_rejected::base,samplenew3_00000379,"In the video, the screen shows a male character with a furrowed brow, seemingly displaying worry or concern. His gaze is fixed on the other person, and his facial expression appears somewhat tense. The background is an indoor setting with traditional Chinese decor, giving a formal or serious feeling. In the audio, the character's tone is low and his mood seems heavy. In the text, the subtitle reads, ""Liu Bei was trapped in Jiangdong and when he became a son-in-law, Jingzhou was empty. It is about Zhang Fei not supporting Zhuge."" This sentence may be a discussion or explanation involving the male character. Based on the video clues of the male character's furrowed brow, tense facial expression, formal or serious background, and the audio clue of the character's low tone and heavy mood, we can infer that this sentence may carry a sense of concern or anxiety. The male character may be discussing or explaining a serious or difficult situation, hence displaying a concerned emotional state in the video.","In the video, a male character, dressed in traditional attire, is shown in an indoor setting dimly lit by lamps, creating a solemn atmosphere. His face is the primary focus, displaying a stern and focused expression with a slightly furrowed brow and a downturned mouth. Notably, there is a visible stain of blood on his lower lip and chin, suggesting either physical distress or a grave situation. His eyes are wide and maintain a direct, intense gaze towards an unseen individual, conveying deep concentration. The character speaks with a deliberate, low-pitched tone, reinforcing the seriousness of his words. The subtitles reveal him stating: ""刘备被困在江东做女婿是。荆州是空虚的。关羽张飞不服诸葛亮。"" (Liu Bei is trapped in Jiangdong as a son-in-law. Jingzhou is empty. Guan Yu and Zhang Fei don't obey Zhuge Liang.) This dialogue describes a critical strategic vulnerability and internal disunity within his faction. The combination of his serious demeanor, the visual indication of distress (blood), and the weighty political/military information being conveyed strongly suggests a state of profound strategic concern and frustrated apprehension.",a2,original_rejected,samplenew3_00000379,0,official_preferred,official,168,169,1,0.214689,0.037436
