sample_id,split,error_type,preferred_description,controlled_negative,sentence_id,source_phrase,replacement_phrase,target_modality,construction,preferred_words,negative_words,length_delta,sentence_delta,lexical_jaccard,sequence_similarity,observed_type,targeted_error_present,non_target_preserved,fluent,quality_score,verified
samplenew3_00000236,train,emotion_flip,"In the text, the caption reads: ""How am I supposed to know who he is?"" This phrase could be a response or reaction from a woman to a boy. Given the audio cues that describe the character's voice as high-pitched and filled with excitement, along with the video clues showing the woman's anxious expression and the boy's smile, we can infer that the tone of this sentence might convey a sense of confusion or puzzlement. The woman may feel perplexed by the boy's question or statement, unsure of how to respond or explain. Therefore, this sentence could be the woman's reaction to the boy's question, expressing her bewilderment and uncertainty.","In the text, the caption reads: ""How am I supposed to know who he is?"" This phrase could be a response or reaction from a woman to a boy. Given the audio cues that describe the character's voice as high-pitched and filled with excitement, along with the video clues showing the woman's anxious expression and the boy's smile, we can infer that the tone of this sentence might convey a sense of confusion or puzzlement. The woman may feel perplexed by the boy's question or statement, unsure of how to respond or explain. Therefore, this sentence could be the woman's reaction to the boy's question, expressing her excitement and curiosity.",5,"Therefore, this sentence could be the woman's reaction to the boy's question, expressing her bewilderment and uncertainty.","Therefore, this sentence could be the woman's reaction to the boy's question, expressing her excitement and curiosity.",global,qwen3_generated,110,110,0,0,0.958904109589041,0.9625585023400937,emotion_flip,True,True,True,5,True
samplenew3_00000236,train,intensity_mismatch,"In the text, the caption reads: ""How am I supposed to know who he is?"" This phrase could be a response or reaction from a woman to a boy. Given the audio cues that describe the character's voice as high-pitched and filled with excitement, along with the video clues showing the woman's anxious expression and the boy's smile, we can infer that the tone of this sentence might convey a sense of confusion or puzzlement. The woman may feel perplexed by the boy's question or statement, unsure of how to respond or explain. Therefore, this sentence could be the woman's reaction to the boy's question, expressing her bewilderment and uncertainty.","In the text, the caption reads: ""How am I supposed to know who he is?"" This phrase could be a response or reaction from a woman to a boy. Given the audio cues that describe the character's voice as high-pitched and filled with excitement, along with the video clues showing the woman's extremely anxious expression and the boy's smile, we can infer that the tone of this sentence might convey a sense of confusion or puzzlement. The woman may feel perplexed by the boy's question or statement, unsure of how to respond or explain. Therefore, this sentence could be the woman's reaction to the boy's question, expressing her bewilderment and uncertainty.",3,anxious expression,extremely anxious expression,visual,qwen3_generated,110,111,1,0,0.9863013698630136,0.9922839506172839,intensity_mismatch,True,True,True,5,True
samplenew3_00000236,train,evidence_contradiction,"In the text, the caption reads: ""How am I supposed to know who he is?"" This phrase could be a response or reaction from a woman to a boy. Given the audio cues that describe the character's voice as high-pitched and filled with excitement, along with the video clues showing the woman's anxious expression and the boy's smile, we can infer that the tone of this sentence might convey a sense of confusion or puzzlement. The woman may feel perplexed by the boy's question or statement, unsure of how to respond or explain. Therefore, this sentence could be the woman's reaction to the boy's question, expressing her bewilderment and uncertainty.","In the text, the caption reads: ""How am I supposed to know who he is?"" This phrase could be a response or reaction from a woman to a boy. Given the audio cues that describe the character's voice as low-pitched and monotone, along with the video clues showing the woman's anxious expression and the boy's smile, we can infer that the tone of this sentence might convey a sense of confusion or puzzlement. The woman may feel perplexed by the boy's question or statement, unsure of how to respond or explain. Therefore, this sentence could be the woman's reaction to the boy's question, expressing her bewilderment and uncertainty.",3,voice as high-pitched and filled with excitement,voice as low-pitched and monotone,audio,qwen3_generated,110,108,-2,0,0.9324324324324325,0.970889063729347,evidence_contradiction,True,True,True,5,True
samplenew3_00000259,train,evidence_contradiction,"In the text, the subtitle content says, ""Then I have to thank you, Baishiang."" This sentence is likely a response or expression of gratitude from the man to someone. Based on the description of the individual's voice having a slight tremor in the audio clues, as well as the friendly and warm facial expressions displayed by the man in the video clues, we can infer that this sentence may carry a sense of appreciation or admiration. Therefore, this sentence is likely the man expressing gratitude or praise to someone, aligning with the overall positive emotions exhibited by the man.","In the text, the subtitle content says, ""Then I have to thank you, Baishiang."" This sentence is likely a response or expression of gratitude from the man to someone. Based on the description of the individual's voice having a steady pitch in the audio clues, as well as the friendly and warm facial expressions displayed by the man in the video clues, we can infer that this sentence may carry a sense of appreciation or admiration. Therefore, this sentence is likely the man expressing gratitude or praise to someone, aligning with the overall positive emotions exhibited by the man.",3,voice having a slight tremor in the audio clues,voice having a steady pitch in the audio clues,audio,qwen3_generated,99,99,0,0,0.9393939393939394,0.9803250641573995,evidence_contradiction,True,True,True,5,True
samplenew3_00000259,train,modality_omission,"In the text, the subtitle content says, ""Then I have to thank you, Baishiang."" This sentence is likely a response or expression of gratitude from the man to someone. Based on the description of the individual's voice having a slight tremor in the audio clues, as well as the friendly and warm facial expressions displayed by the man in the video clues, we can infer that this sentence may carry a sense of appreciation or admiration. Therefore, this sentence is likely the man expressing gratitude or praise to someone, aligning with the overall positive emotions exhibited by the man.","In the text, the subtitle content says, ""Then I have to thank you, Baishiang."" This sentence is likely a response or expression of gratitude from the man to someone. Based on the description of the individual's voice having a slight tremor in the audio clues, we can infer that this sentence may carry a sense of appreciation or admiration. Therefore, this sentence is likely the man expressing gratitude or praise to someone, aligning with the overall positive emotions exhibited by the man.",3,as well as the friendly and warm facial expressions displayed by the man in the video clues,,visual,qwen3_generated,99,82,-17,0,0.859375,0.5013927576601671,modality_omission,True,True,True,5,True
samplenew3_00000379,train,emotion_flip,"In the video, a male character, dressed in traditional attire, is shown in an indoor setting dimly lit by lamps, creating a solemn atmosphere. His face is the primary focus, displaying a stern and focused expression with a slightly furrowed brow and a downturned mouth. Notably, there is a visible stain of blood on his lower lip and chin, suggesting either physical distress or a grave situation. His eyes are wide and maintain a direct, intense gaze towards an unseen individual, conveying deep concentration. The character speaks with a deliberate, low-pitched tone, reinforcing the seriousness of his words. The subtitles reveal him stating: ""刘备被困在江东做女婿是。荆州是空虚的。关羽张飞不服诸葛亮。"" (Liu Bei is trapped in Jiangdong as a son-in-law. Jingzhou is empty. Guan Yu and Zhang Fei don't obey Zhuge Liang.) This dialogue describes a critical strategic vulnerability and internal disunity within his faction. The combination of his serious demeanor, the visual indication of distress (blood), and the weighty political/military information being conveyed strongly suggests a state of profound strategic concern and frustrated apprehension.","In the video, a male character, dressed in traditional attire, is shown in an indoor setting dimly lit by lamps, creating a solemn atmosphere. His face is the primary focus, displaying a stern and focused expression with a slightly furrowed brow and a downturned mouth. Notably, there is a visible stain of blood on his lower lip and chin, suggesting either physical distress or a grave situation. His eyes are wide and maintain a direct, intense gaze towards an unseen individual, conveying deep concentration. The character speaks with a deliberate, low-pitched tone, reinforcing the seriousness of his words. The subtitles reveal him stating: ""刘备被困在江东做女婿是。荆州是空虚的。关羽张飞不服诸葛亮。"" (Liu Bei is trapped in Jiangdong as a son-in-law. Jingzhou is empty. Guan Yu and Zhang Fei don't obey Zhuge Liang.) This dialogue describes a critical strategic vulnerability and internal disunity within his faction. The combination of his serious demeanor, the visual indication of distress (blood), and the weighty political/military information being conveyed strongly suggests a state of calm strategic confidence and composed assurance.",9,strongly suggests a state of profound strategic concern and frustrated apprehension,strongly suggests a state of calm strategic confidence and composed assurance,global,qwen3_generated,168,168,0,0,0.936,0.9545454545454546,emotion_flip,True,True,True,5,True
samplenew3_00000379,train,intensity_mismatch,"In the video, a male character, dressed in traditional attire, is shown in an indoor setting dimly lit by lamps, creating a solemn atmosphere. His face is the primary focus, displaying a stern and focused expression with a slightly furrowed brow and a downturned mouth. Notably, there is a visible stain of blood on his lower lip and chin, suggesting either physical distress or a grave situation. His eyes are wide and maintain a direct, intense gaze towards an unseen individual, conveying deep concentration. The character speaks with a deliberate, low-pitched tone, reinforcing the seriousness of his words. The subtitles reveal him stating: ""刘备被困在江东做女婿是。荆州是空虚的。关羽张飞不服诸葛亮。"" (Liu Bei is trapped in Jiangdong as a son-in-law. Jingzhou is empty. Guan Yu and Zhang Fei don't obey Zhuge Liang.) This dialogue describes a critical strategic vulnerability and internal disunity within his faction. The combination of his serious demeanor, the visual indication of distress (blood), and the weighty political/military information being conveyed strongly suggests a state of profound strategic concern and frustrated apprehension.","In the video, a male character, dressed in traditional attire, is shown in an indoor setting dimly lit by lamps, creating a solemn atmosphere. His face is the primary focus, displaying a stern and focused expression with a slightly furrowed brow and a downturned mouth. Notably, there is a visible stain of blood on his lower lip and chin, suggesting either physical distress or a grave situation. His eyes are wide and maintain a direct, intense gaze towards an unseen individual, conveying deep concentration. The character speaks with a deliberate, low-pitched tone, reinforcing the seriousness of his words. The subtitles reveal him stating: ""刘备被困在江东做女婿是。荆州是空虚的。关羽张飞不服诸葛亮。"" (Liu Bei is trapped in Jiangdong as a son-in-law. Jingzhou is empty. Guan Yu and Zhang Fei don't obey Zhuge Liang.) This dialogue describes a critical strategic vulnerability and internal disunity within his faction. The combination of his serious demeanor, the visual indication of distress (blood), and the weighty political/military information being conveyed strongly suggests a state of intense strategic concern and frustrated apprehension.",9,a state of profound strategic concern and frustrated apprehension,a state of intense strategic concern and frustrated apprehension,global,qwen3_generated,168,168,0,0,0.9917355371900827,0.9933303690529124,intensity_mismatch,True,True,True,5,True
samplenew3_00000379,train,evidence_contradiction,"In the video, a male character, dressed in traditional attire, is shown in an indoor setting dimly lit by lamps, creating a solemn atmosphere. His face is the primary focus, displaying a stern and focused expression with a slightly furrowed brow and a downturned mouth. Notably, there is a visible stain of blood on his lower lip and chin, suggesting either physical distress or a grave situation. His eyes are wide and maintain a direct, intense gaze towards an unseen individual, conveying deep concentration. The character speaks with a deliberate, low-pitched tone, reinforcing the seriousness of his words. The subtitles reveal him stating: ""刘备被困在江东做女婿是。荆州是空虚的。关羽张飞不服诸葛亮。"" (Liu Bei is trapped in Jiangdong as a son-in-law. Jingzhou is empty. Guan Yu and Zhang Fei don't obey Zhuge Liang.) This dialogue describes a critical strategic vulnerability and internal disunity within his faction. The combination of his serious demeanor, the visual indication of distress (blood), and the weighty political/military information being conveyed strongly suggests a state of profound strategic concern and frustrated apprehension.","In the video, a male character, dressed in traditional attire, is shown in an indoor setting dimly lit by lamps, creating a solemn atmosphere. His face is the primary focus, displaying a stern and focused expression with a slightly furrowed brow and a downturned mouth. Notably, there is a visible stain of blood on his lower lip and chin, suggesting either physical distress or a grave situation. His eyes are wide and maintain a direct, intense gaze towards an unseen individual, conveying deep concentration. The character speaks with a deliberate, high-pitched tone, reinforcing the seriousness of his words. The subtitles reveal him stating: ""刘备被困在江东做女婿是。荆州是空虚的。关羽张飞不服诸葛亮。"" (Liu Bei is trapped in Jiangdong as a son-in-law. Jingzhou is empty. Guan Yu and Zhang Fei don't obey Zhuge Liang.) This dialogue describes a critical strategic vulnerability and internal disunity within his faction. The combination of his serious demeanor, the visual indication of distress (blood), and the weighty political/military information being conveyed strongly suggests a state of profound strategic concern and frustrated apprehension.",S5,"speaks with a deliberate, low-pitched tone","speaks with a deliberate, high-pitched tone",audio,qwen3_generated,168,168,0,0,0.9836065573770492,0.9968902709906708,evidence_contradiction,True,True,True,5,True
samplenew3_00000428,train,emotion_flip,"In the video, the subtitle text reads , At least I'm willing to face my own desires. What about you?. This confrontational statement reflects defensive defiance intertwined with accusation. Based on the visual clues describing tears welling in her eyes, redness/puffiness indicating prolonged crying, strained facial expressions conveying sorrow, and the fresh bleeding scratch on her cheek suggesting physical conflict, we infer profound emotional distress compounded by pain from violence. The auditory clues further reveal layered emotions-the confrontational tone of What about you? paired with her vocal delivery likely carrying sharpness or bitterness, contrasting sharply with her visibly tearful appearance. This juxtaposition suggests she is simultaneously expressing anguish over unresolved conflict while lashing out in anger or shame. Therefore, the utterance reflects a complex emotional state combining deep sadness evidenced by tears and strained expression, hurt amplified by physical injury, and defiant anger conveyed through accusatory dialogue-all aligning with her overall emotional state of anguish and turmoil caused by interpersonal conflict.","In the video, the subtitle text reads, At least I'm willing to face my own desires. What about you?. This confrontational statement reflects defensive defiance intertwined with accusation. Based on the visual clues describing tears welling in her eyes, redness/puffiness indicating prolonged crying, strained facial expressions conveying sorrow, and the fresh bleeding scratch on her cheek suggesting physical conflict, we infer profound emotional distress compounded by pain from violence. The auditory clues further reveal layered emotions-the confrontational tone of What about you? paired with her vocal delivery likely carrying sharpness or bitterness, contrasting sharply with her visibly tearful appearance. This juxtaposition suggests she is simultaneously expressing anguish over unresolved conflict while lashing out in anger or shame. Therefore, the utterance reflects a complex emotional state combining calm acceptance evidenced by tears and restrained expression, healing from past pain, and quiet resolve conveyed through measured dialogue—all aligning with her overall emotional state of peace and clarity after interpersonal conflict.",S7,"the utterance reflects a complex emotional state combining deep sadness evidenced by tears and strained expression, hurt amplified by physical injury, and defiant anger conveyed through accusatory dialogue-all aligning with her overall emotional state of anguish and turmoil caused by interpersonal conflict","the utterance reflects a complex emotional state combining calm acceptance evidenced by tears and restrained expression, healing from past pain, and quiet resolve conveyed through measured dialogue—all aligning with her overall emotional state of peace and clarity after interpersonal conflict",global,qwen3_generated,161,160,-1,0,0.8283582089552238,0.8562796719896418,emotion_flip,True,True,True,5,True
samplenew3_00000428,train,intensity_mismatch,"In the video, the subtitle text reads , At least I'm willing to face my own desires. What about you?. This confrontational statement reflects defensive defiance intertwined with accusation. Based on the visual clues describing tears welling in her eyes, redness/puffiness indicating prolonged crying, strained facial expressions conveying sorrow, and the fresh bleeding scratch on her cheek suggesting physical conflict, we infer profound emotional distress compounded by pain from violence. The auditory clues further reveal layered emotions-the confrontational tone of What about you? paired with her vocal delivery likely carrying sharpness or bitterness, contrasting sharply with her visibly tearful appearance. This juxtaposition suggests she is simultaneously expressing anguish over unresolved conflict while lashing out in anger or shame. Therefore, the utterance reflects a complex emotional state combining deep sadness evidenced by tears and strained expression, hurt amplified by physical injury, and defiant anger conveyed through accusatory dialogue-all aligning with her overall emotional state of anguish and turmoil caused by interpersonal conflict.","In the video, the subtitle text reads, At least I'm willing to face my own desires. What about you?. This confrontational statement reflects defensive defiance intertwined with accusation. Based on the visual clues describing tears welling in her eyes, redness/puffiness indicating prolonged crying, strained facial expressions conveying sorrow, and the fresh bleeding scratch on her cheek suggesting physical conflict, we infer profound emotional distress compounded by pain from violence. The auditory clues further reveal layered emotions-the confrontational tone of What about you? paired with her vocal delivery likely carrying sharpness or bitterness, contrasting sharply with her visibly tearful appearance. This juxtaposition suggests she is simultaneously expressing anguish over unresolved conflict while lashing out in anger or shame. Therefore, the utterance reflects a complex emotional state combining mild sadness evidenced by tears and strained expression, hurt amplified by physical injury, and defiant anger conveyed through accusatory dialogue-all aligning with her overall emotional state of anguish and turmoil caused by interpersonal conflict.",7,deep sadness,mild sadness,global,qwen3_generated,161,161,0,0,0.9836065573770492,0.9961389961389961,intensity_mismatch,True,True,True,5,True
